id,name,description,description_formatted,url,referral_url,phone,email,facebook,twitter,instagram,summary,categories,accessibility_features,community_groups,service_areas,media_gallery,organisation,slug,aliss_url,permalink,is_claimed,is_deprioritised,last_updated,last_reviewed,location_score,id,formatted_address,name,description,street_address,locality,region,state,postal_code,country,latitude,longitude
bf672db0-aff1-4b49-9365-85ad1d23a5a7,Growchapel Community Growing Space,"Growchapel is a welcoming, inclusive site for the people of Drumchapel to enjoy, relax and grow within. It is a place where everyone is included, where the only boxes are the ones growing plants and veg and the only labels are used to identify what we are growing, where diversity and creativity are valued, encouraged and always respected. It is a kind space which supports wellbeing for ourselves, our families and the environment.

The community space is for growing plots, raised beds, outdoor seating and learning spaces, wildflower patches and a range of creative sensory areas including a scented sitooterie, a place to relax and watch the world go by, or have a wee blether.

Growchapel aims to be an enjoyable place to mix and work with others, chat to local neighbours, reconnect with old friends and meet new people.","<p>Growchapel is a welcoming, inclusive site for the people of Drumchapel to enjoy, relax and grow within. It is a place where everyone is included, where the only boxes are the ones growing plants and veg and the only labels are used to identify what we are growing, where diversity and creativity are valued, encouraged and always respected. It is a kind space which supports wellbeing for ourselves, our families and the environment.</p><p>The community space is for growing plots, raised beds, outdoor seating and learning spaces, wildflower patches and a range of creative sensory areas including a scented sitooterie, a place to relax and watch the world go by, or have a wee blether.</p><p>Growchapel aims to be an enjoyable place to mix and work with others, chat to local neighbours, reconnect with old friends and meet new people.</p>",https://www.facebook.com/groups/growchapel/,,,growchapel@gmail.com,,,,"Growchapel is a welcoming, inclusive site for the people of Drumchapel to enjoy, relax and grow within.  ","[{'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': True}, {'name': 'Physical Activity', 'slug': 'physical-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': True}, {'name': 'Outdoor Activity', 'slug': 'outdoor-activity', 'selected': True}, {'name': 'Social Activity', 'slug': 'social-activity', 'selected': True}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Cooking', 'slug': 'community-cooking', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}, {'name': 'Community Resources ', 'slug': 'community-resources', 'selected': True}]",[],[],[],[],"{'id': 'c26259e5-2b7c-4b16-a3eb-7fd16e69450d', 'name': 'Growchapel Community Allotment Garden Association', 'aliss_url': 'https://www.aliss.org/organisations/growchapel-0', 'permalink': 'https://www.aliss.org/organisations/c26259e5-2b7c-4b16-a3eb-7fd16e69450d', 'is_claimed': False, 'slug': 'growchapel-0'}",growchapel-community-growing-space-se4,https://www.aliss.org/services/growchapel-community-growing-space-se4,https://www.aliss.org/services/bf672db0-aff1-4b49-9365-85ad1d23a5a7,False,False,2024-05-15T00:00:00,2024-05-15T00:00:00,1,4070d7a1-7d06-4711-a302-af519fbef74b,"(the old football pitch between Halgreen Avenue and Abbotshall Avenue), Halgreen Avenue, Glasgow, G15 8AA",(the old football pitch between Halgreen Avenue and Abbotshall Avenue),,Halgreen Avenue,Glasgow,,,G15 8AA,GB,55.9108396,-4.3777462
6e86bbe6-6989-4d19-9d39-056e0c5c5afb,Nesting Scrapstore,"The Nesting Scrapstore is a social enterprise shop operated by the Community Development Company of Nesting and located at the Aald Skül in South Nesting.&nbsp;

We accept a large range of second-hand and leftover items donated from the community - including electronics, kitchenware, hardware, small furnishings, gardening items, toys, stationery, books, CDs, records and much more!&nbsp;These items are then restored, recycled and upcycled by our Scrapstore volunteers before being put on sale.&nbsp;&nbsp;

Income generated from Scrapstore sales sustains CDCN activities within our community, whilst providing good quality items at an affordable price for the local community and contributing to a reduction in material wastage and carbon emissions.","<p>The Nesting Scrapstore is a social enterprise shop operated by the Community Development Company of Nesting and located at the Aald Skül in South Nesting.&nbsp;</p><p>We accept a large range of second-hand and leftover items donated from the community - including electronics, kitchenware, hardware, small furnishings, gardening items, toys, stationery, books, CDs, records and much more!&nbsp;These items are then restored, recycled and upcycled by our Scrapstore volunteers before being put on sale.&nbsp;&nbsp;</p><p>Income generated from Scrapstore sales sustains CDCN activities within our community, whilst providing good quality items at an affordable price for the local community and contributing to a reduction in material wastage and carbon emissions.</p>",https://www.cdcn.co.uk/what-we-offer/scrap-store,,01595890770,scrapstore@cdcn.co.uk,https://www.facebook.com/groups/494781631421546,,,The Nesting Scrapstore is a social enterprise shop with a large range of second-hand and leftover items donated from the community. ,"[{'name': 'Physical Activity', 'slug': 'physical-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': False}, {'name': 'Baby Supplies', 'slug': 'baby-supplies', 'selected': True}, {'name': 'Goods', 'slug': 'goods', 'selected': False}, {'name': 'Clothing', 'slug': 'clothing', 'selected': True}, {'name': 'Home Goods', 'slug': 'home-goods', 'selected': True}, {'name': 'Toys and Gifts', 'slug': 'toys-and-gifts', 'selected': True}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}]",[],[],"[{'code': 'S12000027', 'type': 'Local Authority', 'name': 'Shetland Islands'}]",[],"{'id': 'b5515112-9184-460a-8cfa-dd60ead115ab', 'name': 'Community Development Company of Nesting', 'aliss_url': 'https://www.aliss.org/organisations/community-development-company-of-nesting', 'permalink': 'https://www.aliss.org/organisations/b5515112-9184-460a-8cfa-dd60ead115ab', 'is_claimed': True, 'slug': 'community-development-company-of-nesting'}",nesting-scrapstore,https://www.aliss.org/services/nesting-scrapstore,https://www.aliss.org/services/6e86bbe6-6989-4d19-9d39-056e0c5c5afb,False,False,2024-03-07T00:00:00,2024-03-07T00:00:00,2,c36997f9-621d-438c-8a6e-5769c62a84ae,"Da Aald Skül, Vassa, Shetland, ZE2 9PP",,,"Da Aald Skül, Vassa",Shetland,,,ZE2 9PP,GB,60.26085450242551,-1.1705838355821527
c8e0f023-1cee-4b96-8c52-b4ece8d289f8,Campy Growers ,"Campy Growers Collective, located within Camperdown Country Park on north west edge of Dundee and adjacent to severe areas of multiple deprivations, created the Vegetarium: a place to grow. Campy Growers is the largest community growing space in Dundee, with the potential to produce significant amounts of fresh food. 
Alongside gardening, we will offer education and training to support people with behaviour change. The activity of growing food offers people the chance to take exercise, reduce stress and get fresh air whilst the harvest increases access to fresh and healthy fruit and vegetables.  

Campy Growers' purposes are: 
to advance health and wellbeing 
to promote environmental improvement
to advance education and skills","<p>Campy Growers Collective, located within Camperdown Country Park on north west edge of Dundee and adjacent to severe areas of multiple deprivations, created the Vegetarium: a place to grow. Campy Growers is the largest community growing space in Dundee, with the potential to produce significant amounts of fresh food. <br>Alongside gardening, we will offer education and training to support people with behaviour change. The activity of growing food offers people the chance to take exercise, reduce stress and get fresh air whilst the harvest increases access to fresh and healthy fruit and vegetables.  </p><p>Campy Growers' purposes are: <br>to advance health and wellbeing <br>to promote environmental improvement<br>to advance education and skills</p>",https://campygrowers.uk/,,07761311953,campygrows@gmail.com,https://www.facebook.com/CampyGrowers/,,,Campy Growers is the largest community growing space in Dundee and has a huge potential to produce significant amounts of fresh food on your door steps. ,"[{'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': True}, {'name': 'Mental Health', 'slug': 'mental-health', 'selected': True}, {'name': 'Conditions', 'slug': 'conditions', 'selected': False}, {'name': 'Social Activity', 'slug': 'social-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Food Education', 'slug': 'community-food-education', 'selected': True}, {'name': 'Community Cooking', 'slug': 'community-cooking', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}]",[],[],"[{'code': 'S12000042', 'type': 'Local Authority', 'name': 'Dundee City'}]",[],"{'id': '521c8bad-29e7-43b3-a80b-30bdbf51dfcc', 'name': 'Campy Growers', 'aliss_url': 'https://www.aliss.org/organisations/campy-growers', 'permalink': 'https://www.aliss.org/organisations/521c8bad-29e7-43b3-a80b-30bdbf51dfcc', 'is_claimed': False, 'slug': 'campy-growers'}",campy-growers,https://www.aliss.org/services/campy-growers,https://www.aliss.org/services/c8e0f023-1cee-4b96-8c52-b4ece8d289f8,False,False,2024-02-21T00:00:00,2024-02-21T00:00:00,2,0084eb40-b4d9-433a-a9d4-32cd56aabebc,"Campy Growers , Camperdown Country Park  Cupar Angus Road, Dundee, DD2 4TF",Campy Growers ,,Camperdown Country Park  Cupar Angus Road,Dundee,,,DD2 4TF,GB,56.484635,-3.042937
1b88b3ab-d12a-4754-9ec4-ad5bdcecb84b,Young at Heart,"For older people to enjoy a variety of physical and mental exercise along with improving wellbeing. We encourage to healthier food and drinks. They also enjoy quizzes and reminiscence.

This service runs on Wednesday PM for 2 hours. We offer door to door transport with passenger assistance. The service costs £5 including a snack.",<p>For older people to enjoy a variety of physical and mental exercise along with improving wellbeing. We encourage to healthier food and drinks. They also enjoy quizzes and reminiscence.</p><p>This service runs on Wednesday PM for 2 hours. We offer door to door transport with passenger assistance. The service costs £5 including a snack.</p>,https://www.cace.info/,,01236451393,info@careatcace.com,https://www.facebook.com/CACE-158378691265780,https://twitter.com/cacecumbernauld,,A weekly social group for older people with an interest in personal wellbeing.,"[{'name': 'Sports and Games', 'slug': 'sports-and-games', 'selected': True}, {'name': 'Physical Activity', 'slug': 'physical-activity', 'selected': False}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Exercise and Get Fit', 'slug': 'exercise-and-get-fit', 'selected': True}, {'name': 'Creative and Cultural Activity', 'slug': 'creative-and-cultural-activity', 'selected': True}, {'name': 'Social Activity', 'slug': 'social-activity', 'selected': True}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': False}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}]","[{'name': 'Accessible building', 'slug': 'accessible-building', 'additional_info': '', 'icon': 'fa fa-wheelchair', 'location_id': 'bed28f0c-951b-44cf-b8b1-618c78c5ab8d'}, {'name': 'Accessible car park', 'slug': 'accessible-car-park', 'additional_info': '', 'icon': 'fa fa-car', 'location_id': 'bed28f0c-951b-44cf-b8b1-618c78c5ab8d'}, {'name': 'Accessible entrance', 'slug': 'accessible-entrance', 'additional_info': '', 'icon': 'fa fa-wheelchair-alt', 'location_id': 'bed28f0c-951b-44cf-b8b1-618c78c5ab8d'}, {'name': 'Accessible toilet', 'slug': 'accessible-toilet', 'additional_info': '', 'icon': 'fa fa-wheelchair', 'location_id': 'bed28f0c-951b-44cf-b8b1-618c78c5ab8d'}, {'name': 'Free Wifi', 'slug': 'free-wifi', 'additional_info': '', 'icon': 'fas fa-wifi', 'location_id': 'bed28f0c-951b-44cf-b8b1-618c78c5ab8d'}]","[{'name': 'Older Adults', 'slug': 'older-adults', 'is_range': False, 'min': 0, 'max': 0, 'selected': True}]","[{'code': 'S12000050', 'type': 'Local Authority', 'name': 'North Lanarkshire'}]",[],"{'id': '7631354a-bb73-487f-96ae-a80dd53cbf13', 'name': 'CACE', 'aliss_url': 'https://www.aliss.org/organisations/cace', 'permalink': 'https://www.aliss.org/organisations/7631354a-bb73-487f-96ae-a80dd53cbf13', 'is_claimed': True, 'slug': 'cace'}",young-at-heart,https://www.aliss.org/services/young-at-heart,https://www.aliss.org/services/1b88b3ab-d12a-4754-9ec4-ad5bdcecb84b,False,False,2023-12-12T00:00:00,2023-12-12T00:00:00,2,bed28f0c-951b-44cf-b8b1-618c78c5ab8d,"Suite 4, Arca Business Centre, Dunnswood Road, Wardpark South, Cumbernauld, G67 3EN","Suite 4, Arca Business Centre",,"Dunnswood Road, Wardpark South",Cumbernauld,,,G67 3EN,GB,55.9707141,-3.9565745
b88d360f-e958-47db-98ca-23f1f46655b6,Gardening Sessions,"We run weekly gardening sessions throughout the growing season (March to October) with a variety of groups in Kingussie and Aviemore.&nbsp;All of our gardeners are adults, some have disabilities, some are isolated and we all benefit from being in the garden, doing gardening activities, socialising and chatting. All of our gardeners are invited to become members of the therapy gardens (membership fee £3 per year).&nbsp;They can take home any produce that they can use –flowers, vegetable, fruit and herbs and from time to time excess plants.","<p>We run weekly gardening sessions throughout the growing season (March to October) with a variety of groups in Kingussie and Aviemore.&nbsp;All of our gardeners are adults, some have disabilities, some are isolated and we all benefit from being in the garden, doing gardening activities, socialising and chatting. All of our gardeners are invited to become members of the therapy gardens (membership fee £3 per year).&nbsp;They can take home any produce that they can use –flowers, vegetable, fruit and herbs and from time to time excess plants.</p>",https://bstherapygardens250807336.wordpress.com/gallery/,https://bstherapygardens250807336.wordpress.com/referrals/,,bstherapygarden@gmail.com,,,,We run weekly gardening sessions throughout the growing season (March to October) with a variety of groups in Kingussie and Aviemore.,"[{'name': 'Social Activity', 'slug': 'social-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': False}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}]",[],[],[],[],"{'id': '2986e372-a1cd-4932-b8d7-48023c65c8c9', 'name': 'Badenoch and Strathspey Therapy Gardens', 'aliss_url': 'https://www.aliss.org/organisations/badenoch-and-strathspey-therapy-gardens', 'permalink': 'https://www.aliss.org/organisations/2986e372-a1cd-4932-b8d7-48023c65c8c9', 'is_claimed': False, 'slug': 'badenoch-and-strathspey-therapy-gardens'}",gardening-sessions,https://www.aliss.org/services/gardening-sessions,https://www.aliss.org/services/b88d360f-e958-47db-98ca-23f1f46655b6,False,False,2023-12-06T00:00:00,2023-12-06T00:00:00,1,53a1490a-aa5e-4b95-bf30-c3f7b29310de,"Aviemore Community Hospital, Cairnview Road, Aviemore, PH22 1AJ",Aviemore Community Hospital,,Cairnview Road,Aviemore,,,PH22 1AJ,GB,57.198053,-3.822834
b88d360f-e958-47db-98ca-23f1f46655b6,Gardening Sessions,"We run weekly gardening sessions throughout the growing season (March to October) with a variety of groups in Kingussie and Aviemore.&nbsp;All of our gardeners are adults, some have disabilities, some are isolated and we all benefit from being in the garden, doing gardening activities, socialising and chatting. All of our gardeners are invited to become members of the therapy gardens (membership fee £3 per year).&nbsp;They can take home any produce that they can use –flowers, vegetable, fruit and herbs and from time to time excess plants.","<p>We run weekly gardening sessions throughout the growing season (March to October) with a variety of groups in Kingussie and Aviemore.&nbsp;All of our gardeners are adults, some have disabilities, some are isolated and we all benefit from being in the garden, doing gardening activities, socialising and chatting. All of our gardeners are invited to become members of the therapy gardens (membership fee £3 per year).&nbsp;They can take home any produce that they can use –flowers, vegetable, fruit and herbs and from time to time excess plants.</p>",https://bstherapygardens250807336.wordpress.com/gallery/,https://bstherapygardens250807336.wordpress.com/referrals/,,bstherapygarden@gmail.com,,,,We run weekly gardening sessions throughout the growing season (March to October) with a variety of groups in Kingussie and Aviemore.,"[{'name': 'Social Activity', 'slug': 'social-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': False}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}]",[],[],[],[],"{'id': '2986e372-a1cd-4932-b8d7-48023c65c8c9', 'name': 'Badenoch and Strathspey Therapy Gardens', 'aliss_url': 'https://www.aliss.org/organisations/badenoch-and-strathspey-therapy-gardens', 'permalink': 'https://www.aliss.org/organisations/2986e372-a1cd-4932-b8d7-48023c65c8c9', 'is_claimed': False, 'slug': 'badenoch-and-strathspey-therapy-gardens'}",gardening-sessions,https://www.aliss.org/services/gardening-sessions,https://www.aliss.org/services/b88d360f-e958-47db-98ca-23f1f46655b6,False,False,2023-12-06T00:00:00,2023-12-06T00:00:00,1,87db8049-5cf3-4ca2-88a6-ded6a10b8cc7,"Kingussie Allotments, Manse Road, Kingussie, PH21 1JF",Kingussie Allotments,,Manse Road,Kingussie,,,PH21 1JF,GB,57.080983,-4.044283
2ebcb504-4ef5-41ce-be9c-eeba6a927502,Allotment,The allotment is based behind Cumbernauld and St Andrews Primary on the Airdriehead allotment site. We have a very large plot directly in front of the main gates. We have installed a shed with sofa and have lots of garden tools. The ground has been turned over twice now and is covered with plastic awaiting more planters. We have planted hundreds of spring bulbs and have already had bumper crops of radishes and potatoes.,<p>The allotment is based behind Cumbernauld and St Andrews Primary on the Airdriehead allotment site. We have a very large plot directly in front of the main gates. We have installed a shed with sofa and have lots of garden tools. The ground has been turned over twice now and is covered with plastic awaiting more planters. We have planted hundreds of spring bulbs and have already had bumper crops of radishes and potatoes.</p>,https://www.cace.info/,,01236451393,info@careatcace.com,https://www.facebook.com/CACE-158378691265780,https://twitter.com/cacecumbernauld,,The Allotment will be in full swing from Spring 2024 with food production and flowers in place to help seasonally sustain the local community and our own service users. Volunteers welcome.,"[{'name': 'Physical Activity', 'slug': 'physical-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': True}, {'name': 'Social Activity', 'slug': 'social-activity', 'selected': True}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': False}, {'name': 'Green Spaces', 'slug': 'green-spaces', 'selected': True}, {'name': 'Environment', 'slug': 'environment', 'selected': False}, {'name': 'Eco-Friendly Practices and Recycling', 'slug': 'eco-friendly-practices-and-recycling', 'selected': True}, {'name': 'Climate Action ', 'slug': 'climate-action', 'selected': False}, {'name': 'Environment', 'slug': 'environment', 'selected': False}, {'name': 'Environmental Advocacy and Awareness', 'slug': 'environmental-advocacy-and-awareness', 'selected': True}, {'name': 'Natural Environment ', 'slug': 'natural-environment', 'selected': True}]","[{'name': 'Accessible building', 'slug': 'accessible-building', 'additional_info': '', 'icon': 'fa fa-wheelchair', 'location_id': 'eda6caf9-eb64-4072-b2c3-714d6a1539b1'}, {'name': 'Accessible car park', 'slug': 'accessible-car-park', 'additional_info': '', 'icon': 'fa fa-car', 'location_id': 'eda6caf9-eb64-4072-b2c3-714d6a1539b1'}, {'name': 'Accessible entrance', 'slug': 'accessible-entrance', 'additional_info': '', 'icon': 'fa fa-wheelchair-alt', 'location_id': 'eda6caf9-eb64-4072-b2c3-714d6a1539b1'}, {'name': 'Gender neutral toilet', 'slug': 'gender-neutral-toilet', 'additional_info': '', 'icon': 'fa fa-transgender-alt', 'location_id': 'eda6caf9-eb64-4072-b2c3-714d6a1539b1'}]","[{'name': 'Older Adults', 'slug': 'older-adults', 'is_range': False, 'min': 0, 'max': 0, 'selected': True}]",[],[],"{'id': '7631354a-bb73-487f-96ae-a80dd53cbf13', 'name': 'CACE', 'aliss_url': 'https://www.aliss.org/organisations/cace', 'permalink': 'https://www.aliss.org/organisations/7631354a-bb73-487f-96ae-a80dd53cbf13', 'is_claimed': True, 'slug': 'cace'}",allotment,https://www.aliss.org/services/allotment,https://www.aliss.org/services/2ebcb504-4ef5-41ce-be9c-eeba6a927502,False,False,2023-11-27T00:00:00,2023-11-27T00:00:00,1,eda6caf9-eb64-4072-b2c3-714d6a1539b1,"Eastfield Road, Glasgow, G68 0EB",,,Eastfield Road,Glasgow,,,G68 0EB,GB,55.95969780000001,-4.0044677
7c2644e1-a614-4b3c-bf28-086ba479d9f7,Growing Chrysalis ,"Growing Chrysalis is a project for the community, inviting people of all ages to volunteer and transform an old bowling green into a thriving community space for people and nature.

Visitors and volunteers are welcome to drop in and share their skills as a one off or on a regular basis.

Regular family events, craft afternoons, walking groups and activity sessions are delivered throughout the year with a focus on being outdoors, in nature and following the 5 ways to wellbeing.

The service is hosted by the SAMH team, who also runs the horticultural therapy project, Chrysalis, in the neighbouring garden.","<p>Growing Chrysalis is a project for the community, inviting people of all ages to volunteer and transform an old bowling green into a thriving community space for people and nature.</p><p>Visitors and volunteers are welcome to drop in and share their skills as a one off or on a regular basis.</p><p>Regular family events, craft afternoons, walking groups and activity sessions are delivered throughout the year with a focus on being outdoors, in nature and following the 5 ways to wellbeing.</p><p>The service is hosted by the SAMH team, who also runs the horticultural therapy project, Chrysalis, in the neighbouring garden.</p>",,,07800820594,chrysalis@samh.org.uk,https://www.facebook.com/duntrunecommunitygarden,,,,"[{'name': 'Mental Health', 'slug': 'mental-health', 'selected': True}, {'name': 'Conditions', 'slug': 'conditions', 'selected': False}, {'name': 'Exercise and Get Fit', 'slug': 'exercise-and-get-fit', 'selected': True}, {'name': 'Physical Activity', 'slug': 'physical-activity', 'selected': False}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Outdoor Activity', 'slug': 'outdoor-activity', 'selected': True}, {'name': 'Arts and Crafts', 'slug': 'arts-and-crafts', 'selected': True}, {'name': 'Creative and Cultural Activity', 'slug': 'creative-and-cultural-activity', 'selected': False}, {'name': 'Activity', 'slug': 'activity', 'selected': False}, {'name': 'Community Garden', 'slug': 'community-garden', 'selected': True}, {'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': False}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}, {'name': 'Community Cooking', 'slug': 'community-cooking', 'selected': True}, {'name': 'Community Growing', 'slug': 'community-growing', 'selected': True}]",[],[],[],[],"{'id': '25b47bbd-c23d-4843-aeea-db805f897c44', 'name': 'Scottish Action for Mental Health', 'aliss_url': 'https://www.aliss.org/organisations/scottish-action-for-mental-health', 'permalink': 'https://www.aliss.org/organisations/25b47bbd-c23d-4843-aeea-db805f897c44', 'is_claimed': True, 'slug': 'scottish-action-for-mental-health'}",growing-chrysalis,https://www.aliss.org/services/growing-chrysalis,https://www.aliss.org/services/7c2644e1-a614-4b3c-bf28-086ba479d9f7,False,False,2023-10-04T00:00:00,2023-10-04T00:00:00,1,a6b18dec-2339-4285-a88d-198abbc68faf,"Dawson Park, Duntrune Community Garden, Caenlochan Road, Dundee, DD5 1JX","Dawson Park, Duntrune Community Garden",,Caenlochan Road,Dundee,,,DD5 1JX,GB,56.473829,-2.892867
c3c27600-e8d9-4ca2-a904-c95e95ba40f0,Lambhill Allotments,Lambhill Allotments are a collection of around 70 south-facing plots. We are a community-run association.,<p>Lambhill Allotments are a collection of around 70 south-facing plots. We are a community-run association.</p>,,,,lambhillallotments@gmail.com,https://www.facebook.com/lambhillallotments/,,,Lambhill Allotments are a collection of around 70 south-facing plots. We are a community-run association.,"[{'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': True}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}]",[],[],[],[],"{'id': '3065e03f-7dcf-48b3-91b0-9f10a59eae5b', 'name': 'Lambhill Allotments Association', 'aliss_url': 'https://www.aliss.org/organisations/lambhill-allotments-association', 'permalink': 'https://www.aliss.org/organisations/3065e03f-7dcf-48b3-91b0-9f10a59eae5b', 'is_claimed': False, 'slug': 'lambhill-allotments-association'}",lambhill-allotments,https://www.aliss.org/services/lambhill-allotments,https://www.aliss.org/services/c3c27600-e8d9-4ca2-a904-c95e95ba40f0,False,True,2024-04-03T00:00:00,2024-04-03T00:00:00,1,5eb362d9-2d30-441d-a77c-a3d2c522ff64,"King's Place, Glasgow, G22 6LL",,,King's Place,Glasgow,,,G22 6LL,GB,55.892834,-4.260764
3346f69d-4a4b-47f6-98f2-bf50d61adecf,Oatlands Leisure Gardens,"Oatlands Leisure Gardens has a total of 16 plots with a mixture of whole plots and half plots. Whilst our plots are smaller than on many sites, they are of equal size and all benefit from having their own shed.

There is a small communal storage area although we are looking at ways to make better use of this space.

We also have an excellent clubhouse with tea/coffee-making facilities, toilets and more importantly somewhere to shelter from the rain and wind!

New members will be allocated a half plot initially and we have a process in place to enable members to upsize to whole plots. We also allow members to downsize to a half plot if they find a whole plot too much to manage.","<p>Oatlands Leisure Gardens has a total of 16 plots with a mixture of whole plots and half plots. Whilst our plots are smaller than on many sites, they are of equal size and all benefit from having their own shed.</p><p>There is a small communal storage area although we are looking at ways to make better use of this space.</p><p>We also have an excellent clubhouse with tea/coffee-making facilities, toilets and more importantly somewhere to shelter from the rain and wind!</p><p>New members will be allocated a half plot initially and we have a process in place to enable members to upsize to whole plots. We also allow members to downsize to a half plot if they find a whole plot too much to manage.</p>",http://www.oatlandsleisuregardens.co.uk/,,,oatlands@live.co.uk,,,,Oatlands Leisure Gardens has a total of 16 plots with a mixture of whole plots and half plots.,"[{'name': 'Food and Nutrition', 'slug': 'food-and-nutrition', 'selected': True}, {'name': 'Allotments', 'slug': 'allotments', 'selected': True}]",[],[],[],[],"{'id': 'dbf20a6a-b24f-426e-9509-7c8ee9973024', 'name': 'Oatlands Leisure Gardens', 'aliss_url': 'https://www.aliss.org/organisations/oatlands-leisure-gardens', 'permalink': 'https://www.aliss.org/organisations/dbf20a6a-b24f-426e-9509-7c8ee9973024', 'is_claimed': False, 'slug': 'oatlands-leisure-gardens'}",oatlands-leisure-gardens,https://www.aliss.org/services/oatlands-leisure-gardens,https://www.aliss.org/services/3346f69d-4a4b-47f6-98f2-bf50d61adecf,False,True,2024-04-03T00:00:00,2024-04-03T00:00:00,1,01fb53f8-db04-4af4-8374-c85989a1bbf2,"Wolseley Street, Glasgow, G5 0LJ",,,Wolseley Street,Glasgow,,,G5 0LJ,GB,55.84048,-4.239243
